id,url,header,endereço,area,comodos,banheiros,garagens,extras,preço,condomínio,Bairro,Retirado em
2494003097,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipanema-zona-sul-rio-de-janeiro-65m2-venda-RS900000-id-2494003097/,"Apartamento com 2 Quartos à Venda, 65m²","Rua Gomes Carneiro, 54 - Ipanema, Rio de Janeiro - RJ",65,2 Quartos,2 Banheiros,-- Vaga,"Elevador
Condomínio fechado
Ar-condicionado
Bicicletário
Portaria 24h",R$ 900.000,R$ 1.200,Ipanema,2021-04-14 10:36
https://www.vivareal.com.br/imoveis-lancamento/two-suites-ipanema-2504460517,https://www.vivareal.com.br/imoveis-lancamento/two-suites-ipanema-2504460517/,Two Suites Ipanema,"Rua Prudente de Morais, 326 - Ipanema, Rio de Janeiro - RJ",89-177,1-2 Quartos,1-2 Banheiros,1-2 Vagas,,Sob Consulta,,Ipanema,2021-04-14 10:36
2513330208,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipanema-zona-sul-rio-de-janeiro-60m2-venda-RS750000-id-2513330208/,"Apartamento com 2 Quartos à Venda, 60m²","Rua Barão da Torre, 32 - Ipanema, Rio de Janeiro - RJ",60,2 Quartos,1 Banheiro,-- Vaga,"Elevador
Ar-condicionado
Aceita animais
Bicicletário
Portaria 24h",R$ 750.000,R$ 998,Ipanema,2021-04-14 10:36
2492537104,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipanema-zona-sul-rio-de-janeiro-com-garagem-109m2-venda-RS1988000-id-2492537104/,"Apartamento com 3 Quartos à Venda, 109m²","Rua Almirante Saddock de Sá - Ipanema, Rio de Janeiro - RJ",109,3 Quartos,2 Banheiros,1 Vaga,"Área de serviço
Aceita animais
Escritório
Bicicletário
Armário embutido",R$ 1.988.000,R$ 1.119,Ipanema,2021-04-14 10:36
2512731844,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipanema-zona-sul-rio-de-janeiro-com-garagem-120m2-venda-RS2300000-id-2512731844/,"Apartamento com 3 Quartos à Venda, 120m²","Rua Visconde de Pirajá, 128 - Ipanema, Rio de Janeiro - RJ",120,3 Quartos,3 Banheiros,1 Vaga,"Elevador
Ar-condicionado
Aceita animais
Portão eletrônico",R$ 2.300.000,R$ 1.300,Ipanema,2021-04-14 10:36
2498581711,https://www.vivareal.com.br/imovel/apartamento-4-quartos-ipanema-zona-sul-rio-de-janeiro-com-garagem-350m2-venda-RS5180000-id-2498581711/,"Apartamento com 4 Quartos à Venda, 350m²","Rua Prudente de Morais, 1240 - Ipanema, Rio de Janeiro - RJ",350,4 Quartos,6 Banheiros,11 Vagas,"Mobiliado
Elevador
Condomínio fechado
Playground
Espaço gourmet",R$ 5.180.000,R$ 4.800,Ipanema,2021-04-14 10:36
2500235384,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipanema-zona-sul-rio-de-janeiro-com-garagem-203m2-venda-RS4200000-id-2500235384/,"Apartamento com 3 Quartos à Venda, 203m²","Rua Nascimento Silva, 303 - Ipanema, Rio de Janeiro - RJ",203,3 Quartos,2 Banheiros,2 Vagas,"Elevador
Aceita animais",R$ 4.200.000,R$ 2.700,Ipanema,2021-04-14 10:36
2511990148,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipanema-zona-sul-rio-de-janeiro-com-garagem-75m2-venda-RS950000-id-2511990148/,"Apartamento com 2 Quartos à Venda, 75m²","Rua Barão da Torre, 82 - Ipanema, Rio de Janeiro - RJ",75,2 Quartos,2 Banheiros,1 Vaga,"Elevador
Área de serviço
Ar-condicionado
Aceita animais
Bicicletário",R$ 950.000,R$ 1.000,Ipanema,2021-04-14 10:36
https://www.vivareal.com.br/imoveis-lancamento/bossa-107-2495600097,https://www.vivareal.com.br/imoveis-lancamento/bossa-107-2495600097/,Bossa 107,"Rua Barão da Torre, 107 - Ipanema, Rio de Janeiro - RJ",28-66,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.141.400,,Ipanema,2021-04-14 10:36
2512919281,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipanema-zona-sul-rio-de-janeiro-com-garagem-85m2-venda-RS1600000-id-2512919281/,"Apartamento com 3 Quartos à Venda, 85m²","Rua Alberto de Campos, 101 - Ipanema, Rio de Janeiro - RJ",85,3 Quartos,3 Banheiros,1 Vaga,"Mobiliado
Elevador
Ar-condicionado
Aceita animais
Jardim",R$ 1.600.000,R$ 1.260,Ipanema,2021-04-14 10:36
